Model,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,,,,,,,,,,,,,,,,60,44,111,3505,574,393,592,545,95,80,106,153,54,60,466,283,20663,391,241,221,310,157,183
google/long-t5-tglobal-base,,,,,,,,,,,,,,,,,,,,,,,,211,421,0,324,666,975,749,889,767,871,527,906,886,1111,927
AmbricJohnson5888/claura,,,,,,,,,,,,,,16,69,146,172,94,107,171,1085,1414,790,872,443,1573,1599,106,125,1354,970,1217,739,789,112,195,107,32
yiyanghkust/finbert-esg,,,,,,,,,,,,,,,,,,,11,79,658,355,5812,3243,187,0,1441,425,274,317,429,513,152,103,154,528,228,527
DeepPavlov/distilrubert-tiny-cased-conversational-v1,,,,119,106,337,271,173,107,31,19,61,14,19,188,721,402,911,176,714,161,102,276,53,974,549,690,847,1093,408,300,299,234,564,362,460,349,36
j-hartmann/sentiment-roberta-large-english-3-classes,,69,37,22,104,128,117,111,70,232,72,160,79,157,152,359,148,541,309,306,245,191,262,106,508,0,2083,230,295,302,693,500,357,82,429,247,318,279
microsoft/dit-base-finetuned-rvlcdip,,,,,,,,,,92,96,117,84,145,120,104,251,275,256,342,549,184,7637,269,213,0,811,534,1062,530,251,247,189,78,4210,3269,2902,205
bigscience/bigscience-small-testing,,,,,,,,,,,,,,,,80,33,48,114,141,243,338,378,1058,1334,1142,1394,980,1609,1917,1265,958,206,70,244,293,248,259
bigscience/bloom-7b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687,1886,690,893,1249,777,745
allenai/PRIMERA,,,,,,,,,,45,99,117,160,128,63,155,384,123,156,246,156,154,115,328,461,348,94,331,567,517,354,510,377,245,174,403,338,745
microsoft/cvt-13,,,,,,,,,,,,,,,,,,,,51,78,35,26,44,85,0,471,144,238,681,443,2873,2766,1434,807,47572,930,417
hf-internal-testing/tiny-random-clip-zero-shot-image-classification,,,,,,,79,151,185,223,227,303,264,195,243,184,187,329,429,382,262,222,244,219,219,0,160,132,179,169,243,269,118,55,136,165,198,178
junnyu/roformer_v2_chinese_char_large,,,,,,,,,,,,22,20,308,1032,1199,727,260,202,191,183,501,63,136,130,0,2,187,54,572,271,976,1748,363,91,305,55,46
yhavinga/t5-v1.1-large-dutch-cnn-test,,19,4,0,0,0,0,0,0,0,0,1,0,1,0,6,1,1,3,0,0,0,1,1,0,0,0,14,0,0,50,11,17,16,12,123,7132,4645
KoboldAI/fairseq-dense-2.7B-Nerys,,,,,,,,,,,,,,,,,,,,56,107,249,919,1777,2447,1570,1942,2294,1781,1117,1879,1797,1395,1417,604,2720,2146,2356
snrspeaks/KeyPhraseTransformer,,,,,,,,,,,,92,38,102,82,62,59,72,41,24,16,15,2,28,48,0,275,773,650,1326,854,406,560,377,398,747,588,783
deepset/all-mpnet-base-v2-table,,,,,,,,,,,,,,,,,3,38,129,383,426,195,136,191,270,290,155,187,202,222,261,341,239,102,211,509,4811,280
aliosm/sha3bor-metre-detector-arabertv02-base,,,,,,,,,,,,,,,,,,,,6,106,1528,699,1349,44,581,4659,541,5829,1735,250,330,237,601,588,538,437,40
hiiamsid/sentence_similarity_hindi,16,32,6,6,0,0,46,1835,85,9,50,8,34,141,82,67,24,8,26,76,91,25,17,32,6,0,39,54,53,17,5,17,5,2,99,585,2385,1223
aliosm/sha3bor-footer-51-arabertv02-base,,,,,,,,,,,,,,,,,,,,,102,1577,682,1333,65,617,4665,546,5887,1722,229,282,230,517,526,516,380,45
aliosm/sha3bor-rhyme-detector-arabertv02-base,,,,,,,,,,,,,,,,,,,,3,99,1539,685,1337,39,574,4636,545,5878,1719,263,311,201,557,571,567,389,36
b3ck1/gpt-neo-125M-finetuned-beer-recipes,,,,,,532,628,76,162,305,151,196,236,143,161,236,190,148,258,529,521,448,102,136,64,504,439,317,320,416,315,605,644,633,389,819,426,461
nghuyong/ernie-gram-zh,,,,,,,,,,,,,2,69,429,193,183,441,466,702,657,528,363,367,371,0,187,69,254,212,212,211,186,165,231,77,54,113
facebook/data2vec-text-base,,,,,,,,132,99,90,104,67,109,172,340,293,320,245,212,208,172,5340,1272,350,309,1906,156,226,315,708,1865,394,91,94,142,97,109,106
aliosm/sha3bor-poetry-diacritizer-canine-s,,,,,,,,,,,,,,,,,,,,30,102,511,671,1352,59,609,4650,543,5792,1619,206,369,222,592,586,579,433,50
bigscience/bloom-3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1268,282,482,953,1018,2826
Intel/dpt-large,,,,,,,,,,,,74,58,86,356,153,104,356,227,676,2564,753,87,387,302,441,189,66,114,310,104,156,59,104,162,78,328,67
jjzha/jobbert-base-cased,,,,,,,,,,,,,,,4,0,19,66,40,30,125,28,42,54,25,0,71,109,414,602,549,1051,2272,286,311,244,168,399
succinctly/text2image-prompt-generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,634,1142,909,863,464,1159,2203,1791,562
AK270802/DialoGPT-small-harrypotter,,20,70,7,0,55,56,74,78,70,86,52,89,147,168,125,124,108,84,458,388,750,897,785,419,531,795,79,95,1121,994,987,798,671,109,244,122,31
richielleisart/Childe,,,597,82,61,209,115,9,69,92,117,106,124,179,214,112,150,161,129,201,635,1549,1470,1839,1508,0,1418,48,30,69,46,54,83,37,226,482,265,57
obi/deid_roberta_i2b2,,,,,,,72,7,3,11,0,7,16,1,17,15,28,330,19,524,4353,64,154,1459,61,0,58,78,108,142,100,58,59,114,227,78,89,1280
naver-clova-ix/donut-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,763,754,659,866,397,609,1223,1059,791
microsoft/dit-base,,,,,,,,,,26,70,47,23,63,41,76,22,57,91,222,79,50,140,154,115,0,390,370,380,1912,1582,1509,874,397,1859,1150,552,112
pritamdeka/S-Biomed-Roberta-snli-multinli-stsb,,,,,,58,76,50,63,154,412,362,188,111,178,154,252,176,121,70,52,395,218,146,97,0,42,251,234,27,45,91,50,25,139,258,168,2493
hustvl/yolos-small,,,,,,,,,,,,,,,,,25,521,536,684,336,324,435,703,375,0,341,471,545,446,265,318,372,272,260,256,194,79
google/owlvit-base-patch32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,379,878,2216,768,399,697,886,470,516
facebook/incoder-6B,,,,,,,,,,,,,,,100,124,698,254,744,232,200,98,267,96,98,92,136,116,131,728,3714,371,721,43,264,770,1099,1703
kresnik/wav2vec2-large-xlsr-korean,,,44,49,14,80,27,19,34,52,725,672,180,582,435,107,129,463,49,203,150,41,76,111,85,0,223,145,282,85,165,88,144,72,107,374,96,661
wietsedv/xlm-roberta-base-ft-udpos28-en,,,,,,,5,4,22,75,60,26,65,8,18,2,63,49,310,10,31,125,3,7,9,0,235,2530,254,18,1472,35,55,117,972,33,117,60
oliverguhr/fullstop-punctuation-multilingual-base,,,,,,,,,,,,77,29,60,22,45,28,1,11,22,15,33,16,36,30,0,57,245,433,211,305,812,287,78,477,515,1415,225
Helsinki-NLP/opus-mt-tc-big-en-pt,,,,,,,,,,,,,,,9,20,19,15,79,219,44,53,37,27,82,22,138,584,1415,1872,1546,1448,1638,1888,1138,619,863,594
facebook/nllb-200-distilled-1.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,383,695,667,709,4029,108,400,157,139,375
bloomberg/KeyBART,,,,,,,74,74,7,52,93,33,100,66,126,183,112,103,151,111,71,9,18,27,53,67,226,94,178,354,403,906,2670,160,455,733,2382,332
microsoft/swin-large-patch4-window12-384-in22k,,,,,4,370,266,94,53,24,16,41,91,376,285,363,286,311,326,399,471,442,175,128,126,0,244,366,303,349,673,438,311,115,233,420,150,87
deepset/deberta-v3-base-squad2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,59,801,401,517,2067,5722,1958,1068,1107
malper/unikud,,,,,,,,,,,,,,,,598,31,665,338,72,61,3,110,215,562,0,260,189,273,408,122,166,196,24,1150,789,188,95
Langboat/mengzi-t5-base-mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,108,152,228,601,352,304,6444,8504
jonatasgrosman/wav2vec2-xls-r-1b-english,,,,,,59,60,17,74,36,53,60,49,82,31,75,70,24,98,39,16,48,21,53,44,0,57,13,45,29,105,118,105,82,2715,2059,138,6523
jackaduma/SecBERT,,,7,3,107,5,41,30,38,63,81,87,152,47,84,92,71,43,78,220,167,47,145,185,128,0,127,323,283,276,197,429,239,290,196,234,220,376
Intel/distilbert-base-uncased-finetuned-sst-2-english-int8-static,,,,,,,,,,,,,,,12,104,148,83,155,254,170,91,182,91,355,641,726,594,588,817,471,552,660,708,568,552,615,556
Salesforce/codegen-350M-multi,,,,,,,,,,,,,,,,,,,,,11,1,9,6,47,179,30,31,58,140,298,1067,823,624,718,633,899,632
jfarray/Model_paraphrase-multilingual-mpnet-base-v2_1_Epochs,,,,,,2,3,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,555,2316,1046
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,,,,,,,,,,,,,,,,,,,,,,775,1113,1072,760,199,74,122,224,385,304,206,534,162,274,366,188,143
Salesforce/codegen-2B-mono,,,,,,,,,,,,,,,,,,,,,16,33,17,4,139,467,130,150,590,427,406,949,466,262,390,1231,392,497
michiyasunaga/BioLinkBERT-large,,,,,,,,,,,,,619,49,71,133,207,256,207,180,452,191,119,174,64,0,180,317,722,254,68,262,183,49,250,252,169,287
d4data/biomedical-ner-all,,,,,,,,,,,,,,,,,,,,,,,,5,50,111,154,171,117,82,198,235,165,207,427,1003,3193,320
M-CLIP/XLM-Roberta-Large-Vit-L-14,,,,,,,,,,,,,,,,,,,,,,32,130,554,67,78,45,256,364,188,324,339,776,2446,629,348,307,199
IDEA-CCNL/Taiyi-CLIP-Roberta-large-326M-Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,176,253,237,528,482,498,578,1065,932
deepset/tapas-large-nq-hn-reader,,8,26,0,1,0,0,29,40,7,29,29,35,24,12,43,33,70,28,203,271,28,19,36,93,111,93,141,243,199,301,294,226,90,145,305,290,251
dehio/german-qg-t5-e2e-quad,,,34,153,102,127,118,60,88,36,61,58,93,28,37,37,24,21,4,21,24,8,16,46,66,57,54,11,0,9,16,14,5,16,13,973,972,958
junnyu/roformer_v2_chinese_char_base,,,,,,,,,,,,54,64,97,161,284,25,70,701,131,161,125,42,186,120,0,38,494,305,160,74,139,445,1,39,33,28,113
microsoft/BiomedVLP-CXR-BERT-specialized,,,,,,,,,,,,,,,,,,,41,56,56,17,43,223,510,0,729,485,362,296,425,453,222,87,305,503,1214,543
facebook/data2vec-vision-base,,,,,,,,,,,,,,,4,18,44,32,52,205,81,5488,1184,4629,577,205,56,90,565,145,186,1002,155,14,47,21,23,64
google/t5-efficient-tiny,,,,,,,25,6,226,111,151,32,16,107,68,111,143,28,95,253,88,10,29,54,18,0,62,38,83,32,107,437,493,100,565,87,28,674
nielsr/sidewalk-semantic-demo,,,,,,,,,,,,,,21,0,0,0,0,7,5,0,1,0,6,6,0,6,3,4,3,235,153,78,115,2716,736,209,131
Radicalkiddo/DialoGPT-small-Radical,,,,,,,191,163,178,0,145,125,132,42,75,168,197,150,85,508,1082,1538,867,103,118,80,50,57,50,147,51,63,58,100,99,235,117,39
yarongef/DistilProtBert,,,,,,,,,,,,,,,3,0,0,0,8,23,39,25,120,41,166,0,763,391,1395,553,225,303,158,48,183,478,1449,150
rinna/japanese-clip-vit-b-16,,,,,,,,,,,,,,,,,,,651,705,378,195,128,133,274,0,256,126,88,383,513,114,417,82,728,1151,169,160
microsoft/layoutlmv3-large,,,,,,,,,,,,,,,,95,42,42,133,122,114,64,143,288,85,0,111,391,245,382,185,568,107,73,79,261,189,314
philschmid/tiny-bert-sst2-distilled,,,,,179,0,1,4,1,7,3,5,3,2,401,157,62,273,314,29,8,50,31,18,11,0,197,105,390,838,391,457,453,357,246,462,276,184
pszemraj/long-t5-tglobal-base-16384-book-summary,,,,,,,,,,,,,,,,,,,,,,,,,,,400,307,375,387,273,240,264,146,399,1477,265,117
ufal/eleczech-lc-small,,,,,,,,,,,,,,,,2,463,1453,806,140,60,85,24,125,189,0,8,158,13,1,5,1,2,6,1,24,12,
microsoft/BiomedVLP-CXR-BERT-general,,,,,,,,,,,,,,,,,,16,34,58,10,18,27,68,12,0,135,359,1236,389,36,36,207,29,438,318,678,761
audeering/wav2vec2-large-robust-12-ft-emotion-msp-dim,,,,,,,,,,,,,,17,0,153,28,86,130,69,78,441,165,227,117,202,314,391,334,111,57,92,96,315,185,264,86,207
naver-clova-ix/donut-base-finetuned-cord-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,158,208,388,587,225,355,477,381,375
RarePizzaDog/Apes_Bot,,,,,,,,,,,,,,104,221,179,208,97,90,130,397,84,343,181,42,86,337,23,198,1550,128,23,159,434,135,241,131,36
IDEA-CCNL/Taiyi-CLIP-Roberta-102M-Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,51,72,350,728,403,576,199,506,387,241
Stancld/longt5-tglobal-large-16384-pubmed-3k_steps,,,,,,,,,,,,,,,,,,,,,,,8,332,251,140,127,115,337,338,347,67,273,383,164,199,259,101
DaNLP/da-electra-hatespeech-detection,,,,,,,7,0,11,0,13,3,0,0,0,20,0,0,0,31,52,85,2,32,138,25,0,12,219,3,53,417,36,1556,412,1949,632,166
awvik360/DialoGPT-medium-plemons-04262022,,,,,,,,,,,,,,,,,172,120,126,115,316,66,635,151,0,139,385,24,189,1436,163,87,225,514,92,226,140,32
EleutherAI/enformer-official-rough,,,,,,,,,,,,,,,,,,,,,,16,72,134,500,505,106,69,173,248,232,308,80,390,61,755,1002,139
KoboldAI/GPT-Neo-1.3B-Adventure,,,,,,,,,,,80,67,43,73,57,28,9,29,60,20,55,10,56,54,34,36,52,36,83,88,28,143,59,71,100,2210,83,40
csebuetnlp/mT5_m2m_crossSum,,,,,,,,,,,,,,,,6,28,61,72,86,48,20,156,147,181,66,177,51,471,607,129,257,434,41,137,165,60,34
Intel/dpt-large-ade,,,,,,,,,,,,25,26,27,35,58,66,87,76,128,191,128,66,147,194,132,180,300,146,243,257,323,393,119,119,102,380,62
pinkducky/Rachel_Bot,,,,,,,,,,,,116,83,100,10,131,198,138,104,27,348,161,319,141,6,0,329,14,211,1409,123,46,211,274,87,253,122,40
lingwave-admin/state-op-detector,,,,,,,,,,,,,7,0,0,7,122,273,711,1309,1560,2643,681,1101,765,0,824,381,1734,708,406,256,304,215,433,764,391,119
naver-clova-ix/donut-base-finetuned-docvqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,59,618,266,321,352,167,179,443,272,1515
Muennighoff/SGPT-5.8B-weightedmean-msmarco-specb-bitfit,,,,,,11,1,44,31,5,5,86,2826,234,368,253,209,416,32,42,13,7,2,2,4,10,44,10,257,17,36,1,1,1,4,696,33,11
Garsic/DialoGPT-medium-jill,,,,,,,,,,,,,,,64,237,116,47,26,41,6,131,398,196,0,117,342,11,166,1523,114,30,199,519,483,155,193,7
microsoft/swin-large-patch4-window7-224,,,,,,20,1,1,214,5,7,14,13,19,2,1270,1049,1022,647,740,120,48,54,176,244,0,168,245,338,254,201,315,554,165,232,128,162,318
chocoduck/Joey_bot,,,,,,,,,,,35,116,68,47,108,42,77,146,106,101,396,21,305,167,0,102,332,17,186,1484,166,56,228,269,111,209,126,38
stas/tiny-m2m_100,,,,,,,,,,,,,,,,,3,2,192,315,304,243,242,478,414,0,236,260,561,798,373,207,31,12,62,84,52,97
Wavepaw/DialoGPT-medium-WardenIngo,,,,,,,,,,,,,,,,42,105,49,57,81,426,6,38,165,0,56,319,14,183,1475,107,74,161,477,70,246,122,38
M-CLIP/XLM-Roberta-Large-Vit-B-16Plus,,,,,,,,,,,,,,,,,,,,,,21,3,47,399,382,265,14,892,141,128,472,1212,257,553,366,258,314
NonzeroCornet34/DialoGPT-small-hansolo,,,,,,,,,,,,,,,243,148,146,126,81,73,560,17,462,175,0,162,357,16,207,1458,128,50,158,539,135,184,140,33
srcocotero/bert-large-qa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1492,60,23,1,1048,21
darthrussel/DialoGPT-small-homerbot-halfdata,,,,,,,,,,,,,152,86,56,83,138,105,91,67,103,9,487,209,22,158,346,27,180,1464,170,33,233,294,132,217,128,40
OFA-Sys/OFA-base,,,,,,,,,,,,,,,,,90,21,116,386,459,269,336,61,494,160,102,28,56,100,131,220,178,131,158,123,18,119
impira/layoutlm-document-qa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,10,20,362,1283,502,801
facebook/data2vec-audio-large,,,,,,,,,,,,,2,25,12,20,108,22,9,38,67,29,70,6,133,243,195,115,217,97,107,49,9,0,144,285,388,771
hf-internal-testing/tiny-vilt-random-vqa,,,,,,,,,,,,,,,,,,,,,,13,19,433,567,0,469,395,510,444,681,644,163,56,132,203,203,180
nielsr/layoutlmv3-finetuned-funsd,,,,,,,,,,,,,,,,,,18,23,24,6,21,38,18,35,0,66,96,85,206,294,302,192,336,279,509,135,136
