Model,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
bigscience/bloom-1b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,681,197,446,484,139,399
Salesforce/codegen-6B-mono,,,,,,,,,,,,,,,,,,,,,3,12,5,2,422,204,95,40,511,307,206,619,475,166,199,353,289,1565
MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary,,33,23,3,22,65,225,32,56,11,8,41,35,43,22,52,174,22,41,51,38,8,19,8,26,52,45,20,105,281,116,256,208,228,199,883,217,295
MaRiOrOsSi/t5-base-finetuned-question-answering,,,,,,,,,,,,,,78,24,10,5,20,8,31,5,26,65,62,42,245,158,285,438,205,316,269,164,323,217,225,154,75
Laggrif/DialoGPT-medium-Luke,,,,,,,,,,,,,,,,,,,,,,,,,102,55,945,273,177,0,230,529,300,1150,1310,56,10,21
madhurjindal/autonlp-Gibberish-Detector-492513457,,11,0,0,6,0,5,3,1,1,0,89,8,33,25,2,6,13,4,1,0,2,4,6,12,0,14,60,104,41,157,120,225,66,461,1432,223,29
patrickvonplaten/data2vec-audio-base-10m-4-gram,,,,,,,,,,,,,,,,28,5,0,0,0,0,0,0,0,85,0,5,0,4,844,8,0,0,5,0,2178,2418,3
NHStudios/DialoGPT-small-jake,,,,,,,,,,,,,,,,,,85,107,110,12,54,604,192,9,155,357,17,186,1529,151,56,187,517,135,249,149,36
makiharukawa/DialoGPT-small-oples,,,,,,,,,,,,,,,,154,89,152,112,107,264,51,156,166,0,0,299,23,201,1548,119,52,203,223,101,238,137,34
allenai/PRIMERA-multinews,,,,,,,,,,8,9,10,11,38,26,38,2,47,227,220,150,90,169,218,87,164,172,190,116,121,147,144,212,30,31,139,93,135
l3cube-pune/hing-mbert,,,,,,,,,24,5,0,0,0,0,0,1,3,12,0,7,0,7,0,5,0,0,8,1,5,27,25,29,315,0,143,123,2784,3
ckiplab/bert-tiny-chinese,,,,,,,,,,,,,,,,,,,14,120,29,28,10,8,8,5,7,6,25,149,61,1133,187,45,339,556,141,11
google/long-t5-local-base,,,,,,,,,,,,,,,,,,,,,,,,146,684,0,209,225,206,200,273,691,258,47,94,101,47,43
cmarkea/distilcamembert-base-qa,,,,,,,,57,76,62,41,5,27,23,18,3,38,10,127,197,540,278,150,100,111,27,262,19,39,24,72,50,10,48,307,282,61,512
google/ddpm-celebahq-256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,147,55,81,113,273,327,548,323,236
yanekyuk/bert-uncased-keyword-extractor,,,,,,,,,,,,,,,,,,,,,,2,47,65,46,0,99,40,17,22,26,29,1692,417,343,509,516,249
huggingtweets/arstechnica,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,212,1256,603,509,138,225,564,245,50
yiyanghkust/finbert-fls,,,,,,,,,,,,,,,,,,,26,4,2,41,70,154,32,0,1239,329,332,178,300,172,94,22,102,346,164,208
Jonesy/HomersNightOut,,,,,,,,,,,,,,,,,99,150,8,22,66,19,92,82,0,28,327,20,166,1290,132,49,191,629,201,261,104,2
microsoft/tapex-large-finetuned-wtq,,,,,,,,,,8,23,9,12,24,18,19,27,58,89,166,555,114,176,66,163,0,116,48,283,95,132,83,8,32,12,297,150,118
lassl/bert-ko-base,,,,,,,13,60,7,35,22,11,4,0,0,41,72,0,116,130,3,1,67,9,4,0,17,56,23,97,170,487,258,279,474,219,250,589
csebuetnlp/mT5_m2o_chinese_simplified_crossSum,,,,,,,,,,,,,,,,,158,117,124,198,266,182,143,164,250,157,187,72,180,166,167,115,103,82,123,128,70,22
microsoft/layoutlmv3-base-chinese,,,,,,,,,,,,,,,,,,,,,,,,105,140,0,174,75,154,178,135,244,164,103,139,180,88,295
IDEA-CCNL/Wenzhong2.0-GPT2-3.5B-chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,134,177,97,223,182,639,1295,325,405,247,176,136
voidism/diffcse-roberta-base-sts,,,,,,,,,,,,,,,2,7,63,38,9,14,12,10,2,1,5,0,1,7,6,13,13,97,326,126,711,524,648,426
KoboldAI/fairseq-dense-6.7B-Shinen,,,,,,,,,,,,,,,24,19,20,21,13,12,9,78,114,107,174,176,156,112,102,160,115,132,110,103,56,231,123,103
staka/fugumt-en-ja,,,,,,,,,,,,,,,,,,26,152,80,52,8,26,186,305,0,145,198,206,463,225,93,152,19,132,67,102,158
allenai/tk-instruct-base-def-pos,,,,,,,,,,,,,,,,,,,,34,49,1408,686,874,1274,1309,326,64,151,410,204,156,16,188,191,196,670,123
staka/fugumt-ja-en,,,,,,,,,,,,,,,,,,16,31,27,66,11,58,10,14,0,88,92,129,52,59,25,51,23,538,398,215,106
google/long-t5-tglobal-large,,,,,,,,,,,,,,,,,,,,,,,,177,333,0,158,226,207,192,540,207,189,123,61,97,48,22
hustvl/yolos-base,,,,,,,,,,,,,,,,,1,159,141,199,76,48,69,103,88,0,90,92,139,53,77,478,82,36,162,202,153,332
deepset/deberta-v3-large-squad2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,479,267,325,106,108,281,452,127
huggingtweets/angelinacho-stillconor-touchofray,,,,,,,,,,,,,,,,,,123,187,195,64,0,3,32,17,0,111,42,87,146,267,420,83,22,153,184,315,340
TencentGameMate/chinese-hubert-large,,,,,,,,,,,,,,,,,,,,,,72,182,92,70,18,11,111,13,5,35,102,60,93,98,197,303,529
oliverguhr/fullstop-dutch-punctuation-prediction,,,,,,,,,,,18,58,12,38,1329,17,18,21,10,5,0,0,7,8,350,0,3,8,9,1,0,242,0,5,67,299,425,21
Helsinki-NLP/opus-mt-tc-big-en-fr,,,,,,,,,,,,,,,84,20,1,20,93,38,15,51,244,76,80,52,75,141,174,35,35,26,39,65,737,529,101,23
OFA-Sys/OFA-large,,,,,,,,,,,,,,,,,76,26,141,222,93,241,102,21,87,117,215,16,5,8,33,23,56,303,2,53,68,111
JamesStratford/Pidrow-bot-DialoGPT-Large,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,177,467,1085,211,141,259,294,353,298,162,40
jonatasgrosman/wav2vec2-xls-r-1b-portuguese,,,,,22,23,26,44,12,16,6,16,22,6,0,143,6,48,91,15,31,1,13,32,30,0,201,46,86,133,89,54,45,109,66,317,21,13
yangheng/deberta-v3-base-absa-v1.1,,,,,,,,,,,34,63,61,164,193,27,85,39,29,42,30,32,68,20,17,0,53,72,57,124,89,65,54,122,118,85,3162,1234
naver-clova-ix/donut-base-finetuned-rvlcdip,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,8,14,13,707,391,17,90,56,79,97
google/owlvit-large-patch14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,22,140,68,22,271,1172,417,503
apple/mobilevit-small,,,,,,,,,,,,,,,,,,,,,,8,16,26,3,23,132,92,65,374,46,85,83,26,233,239,120,151
KES/T5-TTParser,,,,,,,,,101,6,9,32,23,36,3,31,12,0,0,1,0,680,30,0,7,49,15,1,68,5,0,1,3,3,2,43,1196,2
Salesforce/codegen-16B-mono,,,,,,,,,,,,,,,,,,,,,7,7,44,22,27,143,61,106,217,129,135,648,110,51,67,323,100,488
Helsinki-NLP/opus-mt-tc-big-fr-en,,,,,,,,,,,,,,,33,39,56,54,28,61,72,75,11,68,8,54,37,154,52,79,50,52,58,62,142,603,42,18
voidism/diffcse-bert-base-uncased-sts,,,,,,,,,,,,,,,7,6,137,34,134,50,76,22,16,131,42,0,10,64,11,81,44,163,1387,36,2,7,91,312
Sheerwin02/DialoGPT-small-isla,,,,,,,,,202,51,82,45,75,106,115,94,90,93,63,91,116,98,100,75,80,63,64,78,67,41,21,43,71,76,137,189,118,35
patrickramosobf/bert-base-japanese-v2-wrime-fine-tune,,,,,,,,,,,,,,,,,,,,28,7,3,3,3,6,0,34,29,65,632,3,344,25,14,13,26114,40,16
Salesforce/codegen-6B-multi,,,,,,,,,,,,,,,,,,,,,3,2,0,10,4,45,12,21,10,36,264,545,320,210,223,152,302,1535
Shakerlicious/DialoGPT-small-raquelbot,,,,,,,,,,,,,,,,,,188,327,136,110,62,156,81,93,26,44,48,67,51,43,47,78,102,218,469,239,48
anas-awadalla/bert-tiny-finetuned-squad,,,145,117,0,1,6,4,0,0,1,4,1,9,11,5,12,6,3,8,16,21,50,16,4,2,2,0,202,231,81,55,202,343,205,109,84,124
jjzha/jobspanbert-base-cased,,,,,,,,,,,,,,,,,1,3,1,1,8,7,20,0,2,0,28,52,115,512,197,310,165,5,19,299,118,196
KoboldAI/GPT-Neo-1.3B-Ramsay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,51,11,36,1179,62,26
VietAI/vit5-base,,,,,,,,,,,92,0,0,0,0,0,0,0,0,62,28,28,2,66,9,58,21,41,45,33,110,129,166,93,68,219,125,39
Shakerlicious/DialoGPT-small-descentbot,,,,,,,,,,,,,,,,,,267,325,163,208,78,133,77,84,57,44,40,10,55,46,58,58,98,205,207,239,42
vanilladucky/Friends_chatting_bot_redefined,,,,,,,,,,,37,63,124,165,80,173,176,126,41,86,177,57,31,77,68,0,50,20,19,41,33,33,45,30,142,186,145,37
StanfordAIMI/stanford-deidentifier-base,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0,12,231,23,44,180,17,26,176,415,1232,570
surdan/LaBSE_ner_nerel,,,,,,,,,,,,,,,42,15,12,6,20,14,13,40,113,98,18,0,98,48,30,19,15,57,112,48,275,355,78,47
Averium/FabioBot,,,,,,,,,,,,,,,,,,,,,,,,,194,228,230,5,94,233,179,75,145,155,191,282,191,
jimypbr/bert-base-uncased-squad,,,,,,36,20,1,0,13,176,2,14,119,57,2136,21,5,5,66,58,15,533,261,5,0,1,43,17,41,7,15,0,45,981,1958,4,3
LiYuan/amazon-review-sentiment-analysis,,,,,,,,,,,,,,,,,37,11,5,15,5,3,10,20,6,15,5025,72,109,95,64,88,40,45,317,525,56,45
oliverguhr/spelling-correction-english-base,,,,,,,,,,,,,,,,,,,,,154,11,81,101,60,0,89,31,137,183,117,88,71,26,99,206,135,196
thusken/nb-bert-large-user-needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,89,63,166,153,251,254
aneuraz/awesome-align-with-co,,,,,,,,,,,,,,,,,3,38,0,45,33,45,35,70,57,9,29,4,103,61,66,18,49,116,47,120,18,13
IDEA-CCNL/Erlangshen-Roberta-110M-NLI,,,,,,,,,,,,,,,,22,121,52,164,112,19,22,57,11,8,49,3,3,127,55,9,6,8,24,35,158,64,50
facebook/maskformer-swin-base-coco,,,,,,,,,2,0,0,4,0,21,11,0,0,0,3,6,0,30,0,0,0,0,0,1,1,0,0,0,0,1,0,6,0,1060
KES/TEC-English,,,,,,,,,,,,,,,,,,,,,,,,,17,61,33,55,177,9,0,7,21,0,2,42,1157,
Salesforce/codegen-350M-nl,,,,,,,,,,,,,,,,,,,,,2,3,1,2,14,45,96,14,50,55,90,84,62,90,623,191,168,25
yongjian/wav2vec2-large-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,3,1,6,0,94,78,46,1611
IDEA-CCNL/Randeng-Pegasus-238M-Summary-Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,27,37,75,52,57,74,37,18,63,216,182,80,28
sbcBI/sentiment_analysis,,,,,,,,,,,,,,,,6,14,41,33,55,47,44,60,50,38,0,110,36,58,95,58,107,54,71,60,305,81,22
DLochmelis33/22s-dl-sentiment-1,,,,,,,,,,,,,,,,,,,,,,,,9,4,7,3,16,18,39,4,1,8,6,0,180,684,1
captainswiftfox/rickandmorty,,,,,,,,,,,,,,,,,,,181,94,119,93,56,75,106,55,41,52,68,41,61,49,45,27,82,230,145,38
facebook/vit-mae-large,,,4,0,42,75,0,0,1,3,0,1,2,3,3,0,11,42,3,3,11,10,6,22,26,27,50,42,59,63,85,21,9,12,39,91,80,101
HomerChatbot/DialoGPT-small-homersimpsonbot,,,,,,,,,,,,,,,,,,,,,53,86,75,89,92,97,66,81,118,86,61,51,64,67,116,249,109,46
turing1729/gpt-neo-1.3B-news,,,,,,49,30,11,84,19,26,10,0,13,1,5,0,7,0,13,0,6,0,0,0,0,0,0,0,0,0,11,5,0,0,0,3,529
rizkyds/bert-phb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,720,440,375,1187,416,2
ZeyadAhmed/AraElectra-Arabic-SQuADv2-QA,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,21,153,15,58,145,155,62,94,75,51
t8oo/DialoGPT-small-zenigata,,,,,,,,,,,,,,,,,,,,,279,57,79,95,70,0,35,57,56,33,38,57,55,12,108,233,153,37
facebook/roberta-hate-speech-dynabench-r4-target,,,,,,,,,,,,,,,,,,,,,,,8,35,11,21,61,10,3,9,37,0,41,53,289,210,127,146
facebook/levit-128S,,,,,,,,,,,,,,,,,,,,,,36,33,35,98,28,66,77,51,95,64,84,49,12,36,46,21,17
ZipperXYZ/DialoGPT-medium-TheWorldMachineExpressive2,,,,,,,,,,,,,,,,,,,,,,,,,90,26,130,70,74,60,47,51,90,57,117,213,124,38
RUCAIBox/mvp,,,,,,,,,,,,,,,,,,,,,,3,0,0,77,51,76,48,55,113,160,48,26,11,41,35,36,35
lizz27/DialoGPT-medium-BaymaxBot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,101,77,82,46,174,297,190,2
lucataco/DialoGPT-medium-rafa,,,,,,,,,,,,,,,,,,,,,,,164,108,56,0,12,0,24,38,24,43,53,23,180,146,145,36
wannaphong/wav2vec2-large-xlsr-53-th-cv8-deepcut,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,17,6,6,538,10,1421,42
NikkiTiredAf/DialoGPT-small-billy2,,,,,,,,,,,,,,,,,,,,,,,,,187,87,74,33,112,61,33,48,36,55,99,229,137,31
facebook/opt-13b,,,,,,,,,,,,,,,,,,,,,,,63,389,107,7,6,4,2,0,2,4,13,0,13,1,10,10
aypan17/roberta-base-imdb,,,,,,,,30,8,4,2,1,15,25,37,14,7,2,16,1,0,10,16,0,0,21,194,63,0,0,6,0,0,10,9,91,104,16
bond005/wav2vec2-large-ru-golos,,,,,,,,,,,,,,,,,,,,,,,,,7,43,34,28,7,10,56,17,44,20,30,65,219,29
Naturealbe/DialoGPT-small-Technoblade,,,,,,,,,,,,,,,,,,,,,,,,,,5,150,78,56,54,37,50,59,57,87,271,136,37
wvangils/GPT-Medium-Beatles-Lyrics-finetuned-newlyrics,,,,,,,,,,,,,,,,,,,,,,,2,9,37,0,15,24,11,9,1,4,36,2,10,148,422,10
Browbon/DialoGPT-medium-LucaChangretta,,,,,,,,,,,,,,,,,,,,,,,,61,21,47,49,15,25,35,32,58,55,58,86,231,120,39
lucataco/DialogGPT-med-Rick,,,,,,,,,,,,,,,,,,,,,,,24,46,3,0,36,0,45,34,22,39,42,21,171,258,135,40
lucataco/DialoGPT-medium-milo,,,,,,,,,,,,,,,,,,,,,,,26,55,51,0,18,0,40,42,25,39,41,15,148,273,99,31
crystallyzing/DialoGPT-small-nishikiyama,,,,,,,,,,,,,,,,,,,,,,,,,161,34,43,30,58,35,33,39,44,21,92,204,109,38
dlicari/Italian-Legal-BERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,52,63,0,28,16,40,295,33,9
kalpeshk2011/rankgen-t5-xl-all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,4,0,0,1408,59,365,501
fxmarty/resnet-tiny-beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,43,81,0,1,0,49,16,235
StanfordAIMI/RadBERT,,,,,,,,,,,,,,,,,,4,8,3,0,0,3,5,3,8,4,6,39,9,32,15,27,49,37,204,69,5
mrm8488/spanish-TinyBERT-betito,,,,,,,,,,37,0,8,1,6,0,0,0,8,0,0,0,0,0,0,0,0,1,0,60,23,0,1,10,3,36,61,136,72
Lamia/DialoGPT-small-Sundrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,9,42,31,61,66,50,117,196,124,41
MCG-NJU/videomae-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,49,90,179,5,816,669,1028
yanekyuk/berturk-uncased-keyword-discriminator,,,,,,,,,,,,,,,,,,,,,,,18,3,6,0,0,98,9,11,13,12,14,73,615,32,4,4
yanekyuk/bert-uncased-keyword-discriminator,,,,,,,,,,,,,,,,,,,,,,,44,3,2,0,2,44,6,6,6,9,16,63,468,39,15,6
wannaphong/wav2vec2-large-xlsr-53-th-cv8-newmm,,,,,,,,,,,,,,,,,,,,,,,9,7,1,0,0,0,0,0,0,46,125,18,378,38,80,7
model-attribution-challenge/opt-350m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,46,5,71,204,111,4
spital/gpt2-small-czech-cs,,,,,,,,,,,,,,,,,,,,4,11,1,11,0,0,0,0,3,0,5,13,18,13,0,0,21,2,999
JulesBelveze/t5-small-headline-generator,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,14,33,14,40,35,4,22,8,72,34,32
tanfiona/unicausal-tok-baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,10,0,0,14,0,455,1307,18,8
StanfordAIMI/stanford-deidentifier-only-i2b2,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,34,34,11,0,0,4,158,544,2,3
StanfordAIMI/stanford-deidentifier-with-radiology-reports-and-i2b2,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,12,6,3,3,0,4,194,582,9,4
StanfordAIMI/stanford-deidentifier-only-radiology-reports-augmented,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,49,15,16,6,3,0,129,536,2,1
saattrupdan/wav2vec2-xls-r-300m-ftspeech,,,,,,,,,,30,23,15,24,8,0,0,68,27,1,7,5,3,0,3,0,0,3,0,0,3,0,0,0,1,0,0,10,7
StanfordAIMI/stanford-deidentifier-only-radiology-reports,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,4,2,5,6,0,1,121,531,2,1
adamnik/bert-causality-baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,11,24,5,7,54,778,3,2
ccdv/lsg-distilcamembert-base-4096,,,,,,,,,,,,,,,3,40,0,0,3,0,5,47,4,0,0,2,0,0,0,0,0,1,0,0,0,90,63,
kalpeshk2011/rankgen-t5-xl-pg19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,5,1,603,0,207,400
kalpeshk2011/rankgen-t5-large-all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,3,502,0,220,407
huggingnft/cryptopunks,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,
huggingnft/cyberkongz,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,
gayanin/t5-small-paraphrasing-mlm,,,,,,,,,,2,12,0,0,1,0,1,1,0,0,5,0,0,5,0,0,0,6,1,0,0,4,0,0,1,0,0,3,7
gayanin/bart-paraphrasing-mlm,,,,,,,,,,2,0,5,7,0,0,6,5,0,6,5,3,0,0,0,0,0,9,3,0,0,4,0,0,0,0,0,0,5
gayanin/t5-small-med-term-mlm,,,,,,,,,,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0,1,0,0,0,1
pyronear/rexnet1_3x,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1,0,2,2,2,2
ArthurZ/tiny-random-bert-sharded,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
