Model,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
Browbon/DialoGPT-medium-LucaChangretta,,,,,,,,,,,,61,21,47,49,15,25,35,32,58,55,58,86,231,120,18
huggingtweets/donalds28__-dril-kommmipakk,,,,,,,,,,,,,,,,,,,8,224,217,73,77,212,140,7
okwach/mawaidhaChatbot2,,,,,,,,61,45,34,82,69,66,0,43,43,45,41,47,36,38,42,90,105,145,13
crystallyzing/DialoGPT-small-kiryu,,,,,,,,,,,,,184,66,38,40,17,40,36,52,40,37,128,218,93,10
lucataco/DialogGPT-med-Rick,,,,,,,,,,,24,46,3,0,36,0,45,34,22,39,42,21,171,258,135,17
Babysittingyoda/DialoGPT-small-Peter,,,,,,,,,,,,79,39,51,59,56,75,47,43,53,51,61,98,150,127,13
arem/DialoGPT-medium-rickandmorty,,,,,,,,,,,,,101,25,51,46,13,50,30,49,50,92,88,182,140,14
ontocord/minidalle,,,,,,,,,,,,,,,,,,,11,25,80,117,106,126,9,
optimum/distilbert-base-uncased-finetuned-banking77,,,,,,,,,,,178,12,8,0,26,18,97,73,4,24,18,15,29,98,27,18
pszemraj/grammar-synthesis-base,,,,,,,,,,,,,,,,,66,50,20,774,73,16,66,74,76,5
brianveebee/DialoGPT-medium-bender,,,,,,,,,,,,,,,76,126,33,58,75,63,54,22,81,155,123,15
apple/deeplabv3-mobilevit-xx-small,,,,,,,,,,10,1,14,2,24,61,38,41,65,40,35,83,34,59,31,12,6
lucataco/DialoGPT-medium-milo,,,,,,,,,,,26,55,51,0,18,0,40,42,25,39,41,15,148,273,99,14
juliensimon/distilbert-amazon-shoe-reviews,,,,,,7,0,64,7,15,140,55,11,0,45,4,24,14,34,25,57,5,1,75,8,5
soProf1998/DialoGPT-medium-chattyrick,,,,,,,,,,,,,105,0,49,31,20,39,34,47,43,36,101,234,121,14
lgessler/coptic-bert-small-uncased,,,,,,,,,,,,,,,,,42,0,174,28,39,10,36,82,49,16
Theivaprakasham/layoutlmv3-finetuned-invoice,,,,,,,,,,,12,27,26,5,40,87,30,115,19,28,27,5,23,22,40,45
salesken/translation-spanish-and-portuguese-to-english,,,,,,,,,,,36,28,11,0,39,32,10,11,19,6,7,39,18,86,173,37
jonaskoenig/topic_classification_04,,,,,,,,,,,,,,,,,89,58,96,77,157,42,61,123,136,45
JAlexis/bert003,,,,,,,,,,,,,,,,,,,48,189,219,272,7,3,,
hf-internal-testing/mrpc-bert-base-cased,,,,,,,,,,,,,,,,,,,603,304,133,90,280,274,88,1
model-attribution-challenge/bloom-350m,,,,,,,,,,,,,,,,,,,,117,136,60,60,128,149,11
dlicari/Italian-Legal-BERT,,,,,,,,,,,,,,,,8,0,52,63,0,28,16,40,295,33,4
Wi/arxiv-topics-distilbert-base-cased,,,,,,,,,,,,,,,,105,51,49,53,35,28,80,29,62,49,17
JazzyLucas/DialoGPT-small-TonyStark,,,,,,,,,,,,,,105,34,62,52,57,30,41,55,78,135,188,131,3
google/owlvit-base-patch16,,,,,,,,,,,,,,,,,2,0,17,38,93,37,13,238,242,52
crystallyzing/DialoGPT-small-nishikiyama,,,,,,,,,,,,,161,34,43,30,58,35,33,39,44,21,92,204,109,12
MCG-NJU/videomae-base-finetuned-kinetics,,,,,,,,,,,,,,,,,,,25,58,9,7,8,44,264,17
M-CLIP/LABSE-Vit-L-14,,,,,,,,,,3,1,0,9,12,151,6,62,5,13,0,12,73,3,26,157,
dinalzein/xlm-roberta-base-finetuned-language-identification,,,,,,,,,90,2,3,0,8,1,5,15,21,20,12,62,4,12,59,223,40,2
prprakash/DialoGPT-small-TonyStark,,,,,,,,,,,,,18,0,36,56,77,42,26,52,49,37,105,255,88,10
IDEA-CCNL/Randeng-T5-77M,,,,,,,,,,,8,15,6,38,34,87,36,21,24,13,100,33,91,23,90,5
jonaskoenig/xtremedistil-l6-h256-uncased-go-emotion,,,,,,,,,,,,,,,114,17,71,92,78,73,90,11,115,50,18,30
swtx/Erlangshen-Deberta-97M-Chinese,,,,,,,,,,,,,,,,,,10,10,11,29,4,76,181,60,75
yongjian/wav2vec2-large-a,,,,,,,,,,,,,,,,4,5,0,3,1,6,0,94,78,46,307
DTAI-KULeuven/robbert-v2-dutch-sentiment,,,,,,,,,,2,0,0,0,32,100,41,8,24,17,29,25,167,79,61,20,8
JasperD-UGent/roberta-base-bne-difficulty-classifier,,,,,,,,,,,,,58,15,47,19,15,32,57,30,14,1,0,5,83,14
biu-nlp/lingmess-coref,,,,,,,,,,,95,69,12,0,6,0,3,0,24,28,77,15,0,19,20,80
ontocord/vlt5,,,,,,,,,,,,,,,,,,,11,25,42,76,106,126,6,
wvangils/BLOOM-350m-Beatles-Lyrics-finetuned-newlyrics,,,,,,,,,,,,,,,36,91,30,22,20,64,89,10,24,100,66,4
Lamia/DialoGPT-small-Sundrop,,,,,,,,,,,,,,,,32,9,42,31,61,66,50,117,196,124,20
jhonparra18/bert-base-cased-cv-studio_name-medium,,,,,,,,,,,,,,,,29,0,6,102,112,43,26,26,75,28,16
24adamaliv/DialoGPT-medium-Will,,,,,,,,,,,,,,,,85,51,64,44,46,63,67,71,205,126,14
ai4bharat/indicwav2vec-hindi,,,,,,,,,,,,,,,,,,53,13,18,51,113,121,74,12,2
KoichiYasuoka/deberta-base-thai-ud-head,,,,,,,,,,,,,,,,13,0,0,4,0,3,0,0,0,332,30
fabiochiu/t5-base-tag-generation,,,,,,,,43,50,25,36,37,20,14,13,16,12,6,5,21,9,8,18,132,63,1
yanekyuk/berturk-uncased-keyword-discriminator,,,,,,,,,,,18,3,6,0,0,98,9,11,13,12,14,73,615,32,4,3
facebook/levit-256,,,,,,,,,,7,1,0,0,0,0,2,13,57,94,145,88,27,1,17,3,
naver/efficient-splade-V-large-doc,,,,,,,,,,,,,,,2,5,5,48,0,27,7,1,170,121,116,7
ccdv/lsg-distilroberta-base-4096,,,1,11,0,0,3,0,0,2,0,0,57,179,1,0,21,12,42,111,0,0,0,53,1,
ccdv/lsg-bart-base-4096-multinews,,,,,,,,,3,7,5,10,7,78,34,5,36,17,29,15,6,0,2,29,61,2
ismail-lucifer011/autotrain-job_all-903929564,,,,,,,,,99,37,27,34,49,0,13,16,7,47,13,14,13,5,6,37,28,3
kalpeshk2011/rankgen-t5-xl-all,,,,,,,,,,,,,,,,,5,3,5,4,0,0,1408,59,365,224
yanekyuk/bert-uncased-keyword-discriminator,,,,,,,,,,,44,3,2,0,2,44,6,6,6,9,16,63,468,39,15,3
alibaba-pai/pai-bert-tiny-zh,,,,,,,,,,,79,15,110,11,44,27,10,0,12,53,15,28,25,27,4,2
apple/mobilevit-xx-small,,,,,,,,,,8,3,5,0,18,27,14,22,46,28,66,47,10,26,5,6,12
wannaphong/wav2vec2-large-xlsr-53-th-cv8-newmm,,,,,,,,,,,9,7,1,0,0,0,0,0,0,46,125,18,378,38,80,4
ismail-lucifer011/autotrain-company_all-903429548,,,,,,,,,94,67,18,48,49,0,14,4,12,17,16,6,10,2,6,25,32,3
ai4bharat/IndicNER,,,,,,,,,,,,17,6,23,13,6,55,25,62,29,25,38,55,49,43,2
soleimanian/financial-roberta-large-sentiment,,,,,,,,6,14,0,4,11,1,0,4,19,5,29,12,26,57,68,79,71,7,2
adamnik/bert-event-detection,,,,,,,,,,,,,,,,,35,40,21,13,0,6,6,65,86,73
NoPeanuts/DialoGPT-small-po,,,,,,,,,,,,,,,,,,,55,57,38,57,109,189,127,15
DeepPavlov/distilrubert-small-cased-conversational,,,,,,,,,,,,,,1,206,10,31,20,2,0,31,30,6,56,30,
gary109/ai-light-dance_singing2_ft_wav2vec2-large-xlsr-53-5gram-v4-2,,,,,,,,,,,,,,,62,124,5,0,53,49,6,1,0,0,21,1
ismail-lucifer011/autotrain-name_all-904029577,,,,,,,,,96,37,16,32,50,0,5,4,7,18,9,7,7,2,6,25,26,3
tinkoff-ai/response-quality-classifier-large,,,,,,,,,,84,31,13,0,0,43,6,9,37,12,13,24,31,60,69,17,3
thunninoi/wav2vec2-japanese-hiragana-vtuber,,,,,,,,,,9,13,25,2,0,15,2,1,0,48,58,50,5,0,9,135,41
sijunhe/nezha-large-wwm,,,,,,,,,,,,,3,0,10,12,1,161,38,23,23,0,47,89,18,9
valurank/t5-paraphraser,,,,,,,,46,25,7,28,42,20,0,15,4,21,20,38,39,17,9,69,15,10,
fxmarty/resnet-tiny-beans,,,,,,,,,,,,,,,,,,59,43,81,0,1,0,49,16,95
UBC-NLP/ptsm_t5_paraphraser,,,,,,,,,,5,14,3,7,0,43,21,9,36,109,62,14,14,32,11,4,
ionite/DialoGPT-medium-NakaAI,,,,,,,,,,,,,,,,,93,80,48,43,80,27,77,63,26,6
MCG-NJU/videomae-base,,,,,,,,,,,,,,,,,,,61,49,90,179,5,816,669,617
cardiffnlp/xlm-twitter-politics-sentiment,,,,,,,,,,,,,,,,,,,29,16,33,3,18,6,92,133
allenai/led-base-16384-ms2,,,,,,,,,,,,,,,,3,37,71,30,3,75,61,55,97,11,2
rajkumarrrk/t5-common-gen,,,,,,,,,,,,,,,,,,,,54,79,20,180,86,3,
RUCAIBox/mtl-data-to-text,,,,,,,,,,2,0,0,5,2,1,7,9,17,19,6,26,57,82,96,20,2
Theivaprakasham/layoutlmv3-finetuned-sroie,,,,,,,,,,,13,4,2,13,9,7,42,28,10,109,5,14,6,10,7,5
Shenzy/Sentence_Classification4DesignTutor,,,,,,,,,,,,,,,,,12,0,75,23,54,89,0,13,5,
jonas/sdg_classifier_osdg,,,,,,,,,26,3,91,9,21,0,8,2,16,39,33,21,9,1,17,41,15,3
sumedh/t5-base-amazonreviews,,,,,,,,11,26,8,6,39,11,0,27,26,12,30,29,27,27,15,6,50,62,10
wbbbbb/wav2vec2-large-chinese-zh-cn,,,,,,,,,,,,,,,,,20,72,17,35,28,15,18,26,52,3
diegopetrola/mDeBERTa-mnli-kaggle-contradictory-my-dear-watson,,,,,,,,,,,,,,,,,,,,22,0,0,0,277,0,2
pysentimiento/robertuito-ner,,,,,,,,,,,,,,,,2,65,14,42,65,27,5,53,37,37,5
big-kek/NeuroSkeptic,,,,,,,,,,,,,,,,155,18,2,0,4,0,0,0,1,0,86
RUCAIBox/mvp-data-to-text,,,,,,,,,,2,0,0,0,5,9,66,24,14,10,9,6,0,26,107,63,5
tanfiona/unicausal-tok-baseline,,,,,,,,,,,,,,,,5,0,10,0,0,14,0,455,1307,18,7
aiknowyou/aiky-sentence-bertino,,,,,,,,,,,,,,,,12,2,4,24,1,0,51,6,114,45,7
csebuetnlp/banglabert_generator,,,,,,,,,,,48,9,9,15,3,0,12,16,15,10,11,13,37,51,43,7
oliverguhr/fullstop-punctuation-multilingual-sonar-base,,,,,,,,39,7,0,11,12,18,0,65,9,7,14,21,3,0,1,4,12,74,1
DeepPavlov/distilrubert-tiny-cased-conversational-5k,,,,,,,,,,,,,,12,23,9,10,4,5,0,81,39,35,12,25,
paust/pko-t5-large,,,,,,,,18,1,96,24,0,2,0,32,4,38,53,4,32,45,25,26,19,50,14
mismayil/comet-gpt2-ai2,,,,,,,,,30,9,8,3,0,0,0,10,15,46,15,22,16,16,8,30,19,
Evelyn18/roberta-base-spanish-squades-becasv3,,,,,,,,,,,,,,,,,43,51,53,65,31,15,47,42,10,2
EMBO/sd-ner-v2,,,,,,,,,,,,,,,,,,,,16,126,58,71,0,3,
FinanceInc/finbert_fls,,,,,,,,,,,,,,,,,11,86,55,37,24,29,19,27,11,5
Dizzykong/gpt2-medium-commands,,,,,,,,58,36,3,0,6,0,0,0,8,1,0,5,0,0,0,0,0,120,
JeremiahZ/roberta-base-rte,,,,,,,,,,,,3,4,0,0,0,0,0,8,8,2,69,320,11,4,
czearing/article-title-generator,,,,,,,,,,,,,,36,67,14,13,6,34,6,21,15,28,120,32,3
Blaise-g/longt5_tglobal_large_sumpubmed,,,,,,,,,,,,,,,,,,,,2,124,38,16,34,15,
JulesBelveze/t5-small-headline-generator,,,,,,,,,,,,,,11,11,14,33,14,40,35,4,22,8,72,34,2
StanfordAIMI/stanford-deidentifier-only-i2b2,,,,,,,,,,,,,3,0,0,0,34,34,11,0,0,4,158,544,2,3
StanfordAIMI/stanford-deidentifier-with-radiology-reports-and-i2b2,,,,,,,,,,,,,3,0,0,0,12,6,3,3,0,4,194,582,9,4
KoichiYasuoka/deberta-base-japanese-wikipedia,,,,,,,,,,,,,21,25,7,8,2,1,4,0,4,9,0,40,94,9
hf-internal-testing/tiny-random-bloom,,,,,,,,,,,,,,,6,8,10,0,107,1,32,7,1,4,28,3
StanfordAIMI/stanford-deidentifier-only-radiology-reports-augmented,,,,,,,,,,,,,3,0,0,0,49,15,16,6,3,0,129,536,2,1
aniketface/DialoGPT-medium-elon,,,,,,,,,,,,,,,,,,,,84,193,106,12,13,5,
jvanz/querido_diario_autoencoder,,,,,,,,,,,,,,,15,6,0,3,5,0,0,0,0,163,16,
facebook/genre-linking-aidayago2,,,,,,,,,,,29,12,3,3,0,6,12,14,9,6,4,0,76,6,12,40
paust/pko-t5-small,,,,,,,,22,40,0,0,0,0,0,2,13,0,0,0,19,26,58,26,44,12,3
DancingIguana/music-generation,,,,,,,,,,,10,24,32,6,19,33,12,37,17,32,24,46,48,53,18,5
ml6team/keyphrase-extraction-kbir-openkp,,,,,,,,,,,,4,8,0,6,10,43,30,15,17,2,19,15,32,11,39
PrimeQA/tydiqa-boolean-answer-classifier,,,,,,,,,,,,,,,10,3,5,16,37,6,12,36,95,8,12,4
PrimeQA/tydiqa-boolean-question-classifier,,,,,,,,,,,,,,,14,3,20,18,15,13,13,47,88,9,13,2
Blaise-g/longt5_tglobal_large_scitldr,,,,,,,,,,,,,,,,,,,,9,93,34,18,27,19,1
agne/jobBERT-de,,,,,,,,,,4,2,10,2,12,0,46,0,21,9,2,69,16,12,6,2,1
naver-clova-ix/donut-base-finetuned-zhtrainticket,,,,,,,,,,,,,,,,,13,14,22,31,34,9,17,13,22,3
pollner/dnabertregressor,,,,,,,,,,,,,,,101,3,0,0,3,28,6,8,8,9,153,12
sacculifer/dimbat_disaster_distilbert,,,,,,,,,,,,,,,,,,,40,91,1,0,0,64,0,34
alex-apostolo/legal-bert-base-cuad,,,,,,,,,,,,,,,,,,,13,48,54,46,10,9,137,2
malmarjeh/t5-arabic-text-summarization,,,,,,,,,,13,1,0,6,0,10,17,21,7,17,81,19,14,13,8,10,2
oMateos2020/pegasus-newsroom-cnn_full-adafactor-bs6,,,,,,,,,,,,,,,,,,,27,32,0,0,5,167,19,38
Blaise-g/led_pubmed_sumpubmed_1,,,,,,,,,,,,,,,,,,,10,17,33,15,0,97,80,2
LanglAdr/t5-base-medium-title-generation,,,,,,,,7,5,1,5,132,61,30,9,7,13,0,9,0,0,1,14,27,,
gustavhartz/roberta-base-cuad-finetuned,,,,,,,,,,,,,,,2,0,13,63,21,23,0,2,1,39,101,3
sysresearch101/t5-large-finetuned-xsum-cnn,,,,,,,,,,,,,,,,,,42,0,35,13,5,113,17,7,4
stanford-oval/paraphraser-bart-large,,,,,,,,,,,,,,,,,,,,31,33,0,33,107,42,3
IDEA-CCNL/Randeng-Pegasus-238M-Chinese,,,,,,,,,,,,,,12,14,45,1,5,7,11,9,9,29,42,13,8
clearspandex/face-parsing,,,,,,,,,,,,,,,67,18,16,13,31,23,32,6,13,37,40,2
projecte-aina/roberta-base-ca-v2,,,,,,,,,,15,7,3,6,0,0,3,10,0,1,9,21,0,51,45,11,22
tner/roberta-large-conll2003,,,,,,,,,,,,,,,,,,,,8,3,3,0,30,93,29
aujer/not_interested_v0,,,,,,,,,,,,,,,,,,,,126,81,6,10,13,5,
Jinchen/roberta-base-finetuned-mrpc,,,,,,,,,,,,,,,,20,4,0,9,0,0,2,313,,,
StanfordAIMI/stanford-deidentifier-only-radiology-reports,,,,,,,,,,,,,3,0,0,0,4,2,5,6,0,1,121,531,2,1
SoDehghan/supmpn-bert-base-uncased,,,,,,,,,,2,15,0,33,66,0,0,0,0,0,0,0,4,0,59,,
fabianmmueller/deep-haiku-gpt-2,,,,,,,,,21,0,0,5,22,29,0,0,9,0,3,16,3,0,6,22,79,
tmills/clinical_tempeval_pubmedbert,,,,,,,,,19,1,7,0,0,0,0,0,0,0,0,0,1,1,0,1,86,37
inigopm/beto-base-spanish-squades2,,,,,,,,,,,,,,,11,9,4,3,9,37,16,21,3,27,55,2
projecte-aina/roberta-base-ca-v2-cased-pos,,,,,,,,,,,,,,,,,7,0,0,0,89,17,32,5,2,1
yanaiela/roberta-base-epoch_83,,,,,,,,,,,,,,,,,,6,9,0,3,2,76,113,89,
Ammar-alhaj-ali/arabic-MARBERT-sentiment,,,,,,,,,,,,,,,,,,,5,42,5,30,36,11,47,1
luztraplet/roberta-base-finetuned-boolq,,,,,,,,,,,,,,,9,0,3,15,7,0,3,7,84,3,5,2
adamnik/bert-causality-baseline,,,,,,,,,,,,,,,,,8,11,11,24,5,7,54,778,3,
ml6team/keyphrase-extraction-kbir-semeval2017,,,,,,,,,,,,3,6,0,2,2,7,6,1,6,7,5,5,73,10,1
Lexemo/roberta_large_legal_act_extraction,,,,,,,,,,,,,62,3,25,6,3,11,6,25,3,17,9,0,14,2
Yuetian/T5-finetuned-storyCommonsense,,,,,,,,,,,,,,,,,,15,44,31,22,6,3,0,9,
apple/deeplabv3-mobilevit-x-small,,,,,,,,,,2,2,1,2,2,11,6,7,1,6,1,13,40,25,4,9,6
tner/roberta-large-bc5cdr,,,,,,,,,,,,,,,,,,,,4,2,0,0,97,9,5
ccdv/lsg-distilcamembert-base-4096,,,3,40,0,0,3,0,5,47,4,0,0,2,0,0,0,0,0,1,0,0,0,90,63,
tner/roberta-large-wnut2017,,,,,,,,,,,,,,,,,,,,27,30,0,7,15,19,14
codeparrot/codeparrot-small-text-to-code,,,,,,,,,,,,,,,,10,28,10,15,38,13,5,8,15,6,1
SamuelYang/SentMAE,,,,,,,,,,,,,,,,,,,,87,49,61,75,154,42,
simecek/DNADebertaK6b,,,,,,,,,,,,,,,,,,,,8,11,0,0,3,67,2
vishw2703/unisumm_3,,,,,,,,,,,,,,,,,,,5,74,9,1,36,20,1,4
ZakaryaRouzki/t5-punctuation,,,,,,,,,,,,,,38,4,9,3,6,9,6,13,16,21,16,3,
diversifix/diversiformer,,,,,,,,,,,,66,25,14,9,24,0,0,0,5,0,0,13,115,1,
IDEA-CCNL/Erlangshen-ZEN2-668M-Chinese,,,,,,,,,,,,,,,,,,2,1,0,0,117,0,3,,
ckiplab/bert-base-han-chinese,,,,,,,,,,,,,,,27,3,3,15,0,3,5,4,0,6,1,37
abdulmatinomotoso/t5_large_headline_generator_testing_3,,,,,,,,,,,,,,,,,,3,3,8,0,0,39,8,55,2
autoevaluate/roberta-base-squad2,,,,,,,,,,,,,,,,,36,0,9,3,1,2,36,0,2,
RVN/BERTovski,,,,,,,,,,,,,,,,,,,,6,0,29,15,22,7,
Mithil/86RecallRoberta,,,,,,,,,,,,,,,62,4,0,1,8,0,0,5,0,36,,
embedding-data/distilroberta-base-sentence-transformer,,,,,,,,,,,,,,,,,,,6,6,6,3,7,11,21,10
kalpeshk2011/rankgen-t5-xl-pg19,,,,,,,,,,,,,,,,,2,0,0,0,5,1,603,0,207,400
ridhoalattqas/xlrs-best-lm,,,,,,,,,,,56,0,2,0,15,12,1,8,6,6,11,0,0,5,0,2
RUCAIBox/mvp-story,,,,,,,,,,2,0,0,2,1,0,0,13,3,0,5,0,7,3,47,7,2
abdulmatinomotoso/t5_large_headline_generator_testing_1,,,,,,,,,,,,,,,,,,12,0,3,0,10,48,0,1,
McGill-NLP/roberta-large-faithcritic,,,,,,,,,,,,,,,,,,30,12,3,3,3,6,31,4,1
kalpeshk2011/rankgen-t5-large-all,,,,,,,,,,,,,,,,,3,0,0,0,0,3,502,0,220,208
PrimeQA/t5-base-table-question-generator,,,,,,,,,,,,,,,3,0,0,7,1,9,25,7,8,5,6,1
AkashKhamkar/InSumT510k,,,,,,,,,,,,,,,,,,,,68,18,5,3,,,
Gorilla115/t5-shakespearify-lite,,,,,,,,,,,,,,,,,,,,22,30,13,6,6,3,7
MCG-NJU/videomae-base-short,,,,,,,,,,,,,,,,,,,44,24,0,1,0,1,1,
Jenwvwmabskvwh/DialoGPT-small-josh450,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,50,32,1
SafiUllahShahid/EnGECmodel,,,,,,,,,,,,,,,,,,3,2,6,8,29,1,4,,
Kayvane/distilroberta-base-wandb-week-3-complaints-classifier-1024,,,,,,,,,,,,,,,,,9,3,0,6,0,17,3,15,12,
Leo2001/ArmSpellChecker,,,,,,,,,,,,,,8,1,3,3,6,0,9,5,7,11,6,2,
Addedk/mbert-swedish-distilled-cased,,,,,,,,,,,,22,0,0,0,0,0,0,3,0,0,0,21,4,0,2
AIRI-Institute/gena-lm-bert-base,,,,,,,,,,,,,2,2,6,1,1,0,4,0,3,11,2,4,,
xdai/mimic_roberta_base,,,,,,,,,,,3,0,0,0,0,0,0,1,7,0,0,1,0,36,,
ccdv/lsg-camembert-base-4096,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,122,64,
SkolkovoInstitute/t5-informal,,,,,,,,,,,,,,,,2,0,0,0,0,12,3,24,3,,
ccdv/lsg-xlm-roberta-base-4096,,,,,,,,,,,,,,,,,,5,1,2,0,0,0,50,7,4
Ramavill/twBETO_v0,,,,,,,,,,,,,,,,,,,,5,9,3,8,3,3,
ccdv/lsg-distilbert-base-uncased-4096,,,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,40,24,
alk/roberta-large-mnli-finetuned-header-classifier,,,,,,,,,,,,,,5,9,0,0,0,3,0,3,0,0,0,4,2
TheDiamondKing/Discord-Message-Small,,,,,,,,,,,,,,9,3,0,0,3,0,0,6,3,0,0,2,
HUPD/hupd-distilroberta-base,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,9,
ccdv/lsg-albert-base-v2-4096,,,,,,,,,,,,,,,,,,3,0,1,0,0,0,54,30,
pyronear/rexnet1_3x,,,,,,,,,,,,,,,,2,0,0,0,0,1,0,2,2,2,
MCG-NJU/videomae-base-ssv2,,,,,,,,,,,,,,,,,,,2,0,0,0,0,2,2,
ArthurZ/tiny-random-bert-sharded,,,,,,,,,,,,1,,,,,,,,,,,,,,
